unix,low,high,open,close,volume,date,vol_fiat
1639267200,48665.43,50828.13,49424.47,50089.64,10411.08180306,2021-12-12,521487339.52582633
1639180800,46786.78,49517.18,47170.94,49407.75,11045.22374119,2021-12-11,545719653.2987802
1639094400,46900.0,50148.49,47568.43,47170.94,15689.5742182,2021-12-10,740091964.0722591
1639008000,47323.23,50844.86,50520.94,47568.43,15749.4243393,2021-12-09,749175389.2242883
1638921600,48650.02,51250.0,50625.24,50519.68,13138.99183299,2021-12-08,663777662.9252682
1638835200,50067.1,51995.0,50529.56,50625.48,14107.33216632,2021-12-07,714190462.43939
1638748800,47200.0,51105.0,49484.21,50529.56,23082.30465624,2021-12-06,1166338698.0657585
1638662400,47827.0,49783.0,49235.26,49484.22,21727.13821193,2021-12-05,1075150487.2495508
1638576000,42333.0,53876.09,53633.02,49241.12,39023.32978526,2021-12-04,1921552464.755562
1638489600,51640.0,57670.68,56521.45,53638.04,19567.63113833,2021-12-03,1049569381.7029902
1638403200,55845.0,57423.69,57226.51,56521.46,12969.21952648,2021-12-02,733039222.6971582
1638316800,56465.75,59118.84,56998.35,57226.5,16607.30872879,2021-12-01,950378152.968101
1638230400,55910.33,59249.77,57838.06,56987.97,18038.78770838,2021-11-30,1027993892.7615283
1638144000,56730.0,58908.27,57318.51,57838.06,13454.23335496,2021-11-29,778166756.0381777
1638057600,53327.0,57490.0,54759.04,57317.17,8222.42493442,2021-11-28,471286127.77839
1637971200,53642.58,55316.67,53757.67,54759.05,7899.30349126,2021-11-27,432558354.8430809
1637884800,53533.0,59194.0,58994.72,53757.67,25946.30174683,2021-11-26,1394812727.0265105
1637798400,57037.04,59445.99,57158.58,58987.27,10668.67680723,2021-11-25,629316119.370814
1637712000,55875.01,57607.97,57562.65,57162.66,12509.25971944,2021-11-24,715062560.1940442
1637625600,55377.0,57886.03,56280.81,57566.85,14019.78167156,2021-11-23,807074668.5194438
1637539200,55641.03,59526.51,58671.22,56280.81,15889.22078935,2021-11-22,894258216.2934574
1637452800,58509.69,60070.0,59760.76,58671.21,6661.36635434,2021-11-21,390830424.26241654
1637366400,57423.35,59900.0,58122.15,59760.76,7584.65241653,2021-11-20,453264592.74766934
1637280000,55625.0,58412.12,56898.46,58122.16,18554.56064192,2021-11-19,1078431142.3593771
1637193600,56514.13,60977.21,60351.51,56898.0,26749.21203012,2021-11-18,1521976666.089768
1637107200,58380.0,60824.38,60101.56,60351.51,20907.21545076,2021-11-17,1261782022.3486967
1637020800,58638.0,63624.6,63621.05,60107.98,24910.15267457,2021-11-16,1497298958.7600002
1636934400,63371.0,66339.9,65505.03,63624.59,10426.55522646,2021-11-15,663385301.3958746
1636848000,63596.9,65525.0,64400.01,65505.02,6081.57225975,2021-11-14,398373512.50636894
1636761600,63394.17,64990.0,64144.42,64400.01,5968.10354833,2021-11-13,384345928.1934875
1636675200,62300.0,65477.06,64807.73,64147.9,13658.626579,2021-11-12,876172211.9270341
1636588800,64133.78,65600.0,64912.2,64807.59,10259.51472415,2021-11-11,664894423.8416762
1636502400,62800.0,69000.0,66938.76,64912.2,19030.24517744,2021-11-10,1235295081.0070207
1636416000,66261.79,68568.85,67554.13,66944.66,14996.62508818,2021-11-09,1003943967.6756802
1636329600,63309.12,67792.77,63309.12,67554.84,17661.87297159,2021-11-08,1193145002.696087
1636243200,61397.86,63327.96,61539.3,63309.13,5596.02460734,2021-11-07,354279449.34928703
1636156800,60125.0,61599.25,61006.14,61539.31,6366.43859189,2021-11-06,391786238.10228217
1636070400,60777.0,62638.59,61444.49,61006.15,10598.79620286,2021-11-05,646591750.9711076
1635984000,60728.77,63114.14,62935.4,61444.5,11051.75853921,2021-11-04,679069777.5624889
1635897600,60070.0,63568.36,63266.5,62935.41,12951.87181247,2021-11-03,815131362.7852427
1635811200,60672.16,64300.0,60956.4,63266.51,13694.11539462,2021-11-02,866378888.5548801
1635724800,59500.0,62500.0,61346.17,60949.54,11724.34161877,2021-11-01,714593228.4668869
1635638400,60001.0,62427.02,61896.38,61343.68,8371.1698899,2021-10-31,513518366.9516609
1635552000,60725.01,62379.2,62287.95,61892.41,6793.59698552,2021-10-30,420472090.00256795
